layerid,name,x,y,color,scale
0,共享交换平台,1.1,0.6,1,2
0,大数据分析平台,3.8,0.6,2,1
0,权限管理系统,6.4,0.6,5,1
0,云盘管理系统,8.6,0.6,2,1

0,消息管理系统,0.4,1.4,2,1
0,预警管理系统,0.4,3.4,6,1
0,统一运维平台,0.4,6.4,5,1
0,安全保障平台,0.4,8.8,2,1

0,日志管理系统,1.1,9.8,6,1
0,短信管理系统,3.8,9.8,6,1
0,统一监控平台,6.3,9.8,7,1
0,移动终端平台,8.6,9.8,6,1

0,标准管理系统,9.6,2.2,1,1
0,模块监控系统,9.6,5.1,6,1
0,邮件管理系统,9.6,8,2,1



1,邮件管理服务,1.3,0.4,6,1
1,服务管理中心,3.8,0.4,1,1
1,文件服务,6.6,0.4,6,1
1,共享管理组件,8.8,0.4,6,1

1,共性管理工具,0.2,1.4,7,1
1,发布管道服务,0.2,4,6,1
1,消息队列服务,0.2,6.4,5,1
1,日志服务,0.2,9,2,1

1,共性管理工具,1,9.6,4,1
1,统一认证模块,3.8,9.6,2,1
1,消息队列模块,6.6,9.6,3,1
1,日志模块,8.8,9.6,1,2



1,统一认证服务,9,1.4,5,1
1,预警管道服务,9,4.4,6,1
1,共享交换服务,9,6.2,5,1
1,模块管理中心,9,8.8,2,1



2,虚拟机3,0.8,0.4,1,1
2,虚拟机8,2.3,0.4,3,1
2,虚拟机13,4,0.4,4,1
2,虚拟机18,6,0.4,6,1
2,虚拟机1,7.7,0.4,1,1
2,数据库5,9.3,0.4,5,1



2,数据库5,0.4,1,5,1
2,虚拟机22,0.4,2.4,4,1
2,虚拟机17,0.4,4.1,1,1
2,虚拟机12,0.4,5.8,2,1
2,虚拟机7,0.4,7.4,5,1
2,虚拟机2,0.4,9.2,1,2



2,数据库4,0.8,10,3,1
2,虚拟机21,2.3,10,4,1
2,虚拟机16,4,10,2,1
2,虚拟机11,6,10,1,1
2,数据库6,7.7,10,2,1
2,虚拟机1,9.3,10,1,1




2,数据库4,10,1,1,1
2,虚拟机9,10,2.4,4,1
2,虚拟机14,10,4.1,1,1
2,虚拟机19,10,5.8,2,1
2,数据库2,10,7.4,5,1
2,数据库7,10,9.2,1,2










2,虚拟机4,5,5,5,1
2,虚拟机5,6,6,7,1
2,虚拟机6,7,7,2,1
2,虚拟机9,7,8,5,1
2,虚拟机10,5,4,6,1
2,虚拟机14,7,5,5,1
2,虚拟机15,6,4,2,1
2,虚拟机19,3,7,1,1
2,虚拟机20,7,6,5,1
2,数据库2,3,8,3,1
2,数据库3,7,8,5,1

2,数据库7,3,3,4,1
2,数据库8,2,4,3,1







